,Unnamed: 0,cbsa10,ADHD_Count,Mental Health Provider,Real_Obese_Count,Real_PhysInact_Count,Population_Real,Population_Female,Population_Male,Food_Insecure_Real,Limit_Healthy_Food_Real,Food_Environment_Index,Access_To_Exercises,College_Education,Uninsured,Unemployment,Children_Poverty,Income Inequality,Single_Parent_Households,Uninsured_Children,Uninsured_Adults,FFR16,FSR16,SAMI_FFR,SAMI_FSR,SAMI_FI,SAMI_FI_CHILD,SAMI_PHYSINACT_REAL,SAMI_ADHD,SAMI_FI_REAL,SAMI_LIMIT_FOOD,SAMI_OBESITY_REAL,SAMI_MHP,SAMI_CHILD_POVERTY,SAMI_SINGLE_PARENT,SAMI_ACCESS_EXERCISES,SAMI_UNINSURANCE,SAMI_UNEMPLOYMENT,SAMI_UNINSURED_CHILDREN,SAMI_UNINSURED_ADULTS,SAMI_FEMALE,SAMI_MALE,SAMI_COLLEGE_EDUCATION
567,567,C3438,9628.6012,119.0,21905.596,14861.996,70436.0,36238.0,34198.0,12400.0,2778.6682161,6.9,51854.0,9738.0,9299.0,2559.0,2695.0,77548.0,4204.0,639.0,8748.0,37,44,-0.2485711505631465,-0.1419498231907519,0.18304317795236,-0.3488336551707434,-0.1799275009515373,0.0002130598363603,0.18304317795236,-0.4927166431621952,0.0377720793647657,0.434518266479329,-0.2961648414576476,-0.2164189031436993,0.0725635433309825,-0.0051981788031927,0.0798672384800065,-0.6051164675438496,0.0596894708973341,0.0257491621057841,-0.0253603738191916,0.0351735457050903
568,568,C3442,9982.1356,23.0,17957.423000000003,15707.181,57828.0,29469.0,28359.0,10760.0,3054.98289499,6.366666666666667,30547.0,5943.0,13950.0,1937.0,5105.0,237175.0,5177.0,2633.0,11551.0,37,41,-0.0439346017923854,-0.0151934872246082,0.2377299958980518,0.5608308624585732,0.0629647245549076,0.2303382894675731,0.2377299958980518,-0.210318170570023,0.0307783819403262,-0.9786699158225574,0.5359397330294904,0.1916358828579518,-0.2459983497232638,0.5963929610682879,0.0024538182004123,1.0021472051172973,0.534498163614483,0.0174223039126015,-0.01648896274658,-0.2465091849822975
569,569,C3446,7875.806,104.0,14770.86,14540.908000000005,45500.0,23191.0,22309.0,7770.0,2694.8275890965,6.866666666666667,26898.0,5713.0,7129.0,1881.0,3387.0,201117.0,3878.0,694.0,6503.0,26,19,-0.1479932915209389,-0.544392592401735,0.1510942726387121,0.284372771508151,0.2138427699866678,0.2292497171822205,0.1510942726387121,-0.1077100001481641,0.0685222804973548,0.8103582777028357,0.3606239879985793,0.1456925496427139,-0.1171963492776111,0.1633707350701385,0.2175352487587885,-0.0987230524395981,0.1993011910655031,0.0190808011558427,-0.0180649643065464,-0.0280960944818211
570,570,C3450,5166.7028,56.0,13564.044000000002,10974.896,38644.0,18794.0,19850.0,5350.0,3308.3624045,7.3,22461.0,5397.0,3597.0,1765.0,2198.0,82008.0,3037.0,257.0,3365.0,31,26,0.1973501287097079,-0.0672962362423468,-0.0593246553756614,0.1456853122725965,0.0878174326124003,-0.0316113387170844,-0.0593246553756614,0.2527513292030026,0.1420660045769182,0.3821397137178692,0.0882779688128376,0.0667451859675782,-0.1230738549441028,-0.3583836403101799,0.3203758001498338,-0.933718864572742,-0.2965197278350846,-0.026822075944235,0.0275279209594696,0.0906681304833227
571,571,C3454,9285.687,43.0,19824.06,14229.54,60810.0,30938.0,29872.0,8500.0,2733.2747292,7.6,41402.0,7024.0,6627.0,2055.0,3088.0,85722.0,3730.0,957.0,5757.0,40,30,-0.018142050372877,-0.3778856607751639,-0.048146264987654,-0.08481632271263084,-0.083654270163219,0.1085411933286817,-0.048146264987654,-0.3694165588355691,0.0807887160040845,-0.4117114844756542,-0.0160314895886024,-0.1871343050821945,0.0043741322801693,-0.1979062828511253,0.0103313769347543,-0.0586947892154334,-0.2120442750224853,0.0154787133137439,-0.0145030467352142,-0.1334720039705672
572,572,C3458,11337.0498,297.0,32917.849,21152.986,118837.0,59948.0,58889.0,16040.0,7756.9485994,7.5,88677.0,16127.0,17932.0,4618.0,5652.0,100839.0,9397.0,2166.0,15994.0,77,119,-0.058370030713136,0.3295578371440806,-0.0808029345623868,0.09507001487904176,-0.3244111971693524,-0.3511029505248348,-0.0808029345623868,0.036404355276387,-0.0634532734585686,0.7380080944815575,-0.0681291151436447,0.0579013352764992,0.0506210219189959,0.1316500482562528,0.1370035405911256,0.1083272665302823,0.1410099415365042,0.0028581362445336,-0.0019055319746694,-0.0229497813269983
573,573,C3462,18186.5232,229.0,39239.656,35010.232,117484.0,60912.0,56572.0,20720.0,8181.2103723,6.6,88125.0,15671.0,15543.0,4603.0,6005.0,76292.0,8615.0,1673.0,14021.0,83,70,0.0285457271595488,-0.1896114889710238,0.1866218405885256,-0.04047518088174229,0.1903384995035821,0.132768666076636,0.1866218405885256,0.1005466904119281,0.1233516813818802,0.4913766641601897,0.003675256131812,-0.0173807046455607,0.0566037350303378,5.383279690640563e-05,0.1454231827447998,-0.1388308078428428,0.0207816881370686,0.0303317846016337,-0.0306610593654035,-0.0393166571918719
574,574,C3466,5686.206999999999,18.0,10506.303,8435.168,37657.0,19574.0,18083.0,5620.0,1956.8917929,7.3,24221.0,5234.0,5093.0,1363.0,1642.0,78084.0,1543.0,471.0,4679.0,28,34,0.1224114986720423,0.2268591063904557,0.0156934276649227,-0.19276122130860252,-0.1507766107854014,0.0896547958483893,0.0156934276649227,-0.2477358725497822,-0.0882281576466876,-0.7226111344385204,-0.1780002498701574,-0.5841782247883467,-0.0200074704277337,0.015096798057522,0.0882885189156743,-0.3028437165663833,0.0589608973594497,0.0398739520842656,-0.0399803388923327,0.0878289171344377
575,575,C3468,10625.352,36.0,21033.12,16862.760000000002,60440.0,31627.0,28813.0,10340.0,5040.6115524,6.5,39634.0,6929.0,10578.0,2386.0,4586.0,86982.0,6321.0,1414.0,9284.0,42,90,0.0369803695422663,0.7268341489588206,0.1538893968106727,0.02570982352642659,0.0919377928266769,0.2493150204019834,0.1538893968106727,0.2484153924935146,0.14592403927176,-0.5822619123143786,0.3854339743765926,0.3465195056095158,-0.0327508179613911,0.2757834562453034,0.1658955211630681,0.3375988951295525,0.2719233817351707,0.0436452874682089,-0.0445300393571237,-0.1405249476145691
576,576,C3470,4330.719599999999,18.0,15420.96,11180.196000000002,42836.0,21529.0,21307.0,5080.0,3066.2259516,7.8,30484.0,6071.0,4138.0,1096.0,1976.0,93367.0,3673.0,518.0,3667.0,34,35,0.1828693966526255,0.126893534681074,-0.2137403115245817,-0.14115796762574373,0.0084024050773017,-0.3094469015840584,-0.2137403115245817,0.0787892827452338,0.1702486939569762,-0.8731685032255703,-0.119120562458276,0.1525209888649978,0.0723777373427267,-0.3206252336158108,-0.2610956424020623,-0.332704119077043,-0.3133681427268762,0.0054213443339889,-0.0040339306558028,0.0975766683473544
